Order,Material,Material description,Created On,Release date (actual),Confirmed finish date,,Order quantity (GMEIN),Delivered quantity (GMEIN),Change date,Status,Created On (bins),Change date (bins),Closed Date,Closed Date (bins)
2100002382,6992G520-0266420P,,25-Sep-24,9/25/2024,9-Oct-24,,54,54,1/1/2025,TECO,September 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002383,69924768-0000TS3P,,25-Sep-24,9/25/2024,24-Oct-24,,750,750,1/1/2025,TECO,September 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002384,69912433-0031200P,,25-Sep-24,9/25/2024,1-Nov-24,,110,110,1/1/2025,TECO,September 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002385,69912426-1099TS3P,,25-Sep-24,9/25/2024,1-Nov-24,,110,110,1/1/2025,TECO,September 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002386,69924768-0000TS3P,,25-Sep-24,9/25/2024,14-Oct-24,,70,70,1/1/2025,TECO,September 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002387,69924860-0000TS8P,,25-Sep-24,9/25/2024,11-Oct-24,,8,8,1/1/2025,TECO,September 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002391,69912423-1099TS3P,,25-Sep-24,9/25/2024,10-Oct-24,,110,110,1/1/2025,TECO,September 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002380,6991G146-0070TS1P,,24-Sep-24,9/24/2024,18-Oct-24,,63,63,1/1/2025,TECO,September 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002381,6991G147-0070TS1P,,24-Sep-24,9/24/2024,8-Oct-24,,100,100,1/1/2025,TECO,September 2024,January 2025,1/1/2025 0:00,12/29/2024
2300000873,67526287-00A0EBCP,,23-Sep-24,9/23/2024,13-Nov-24,,23,23,1/1/2025,TECO,September 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002378,69923177-0000000P,,23-Sep-24,9/23/2024,4-Oct-24,,38,38,1/1/2025,TECO,September 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002379,6992G520-0266420P,,23-Sep-24,9/23/2024,12-Nov-24,,40,40,1/1/2025,TECO,September 2024,January 2025,1/1/2025 0:00,12/29/2024
2300000872,67026287-0000EBGP,,21-Sep-24,9/21/2024,3-Oct-24,,5,5,1/1/2025,TECO,September 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002373,69923958-0000EB2P,,20-Sep-24,9/20/2024,2-Oct-24,,20,20,1/1/2025,TECO,September 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002374,6991G147-0070TS1P,,20-Sep-24,9/20/2024,8-Oct-24,,63,63,1/1/2025,TECO,September 2024,January 2025,1/1/2025 0:00,12/29/2024
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
